,plant_name,CEMS,meanMonthlyEmission,hoursWithData,hoursWithNoData,standard,emission_exceedance,revised_exceedance,charge_for_data,charge_for_nodata
58,Bhushan Power and Steel Limited,CPP40MW,37.5,1,719,100,-62.5,0,0,5817429
59,Bhushan Power and Steel Limited,CPPUNIT-3,30.26903654,431,289,50,-19.73096346,0,0,2468349
60,Bhushan Power and Steel Limited,DRI-5,47.2891776,496,224,50,-2.710822402,0,0,1913184
61,Bhushan Power and Steel Limited,DRI-6,38.86111613,500,220,50,-11.13888387,0,0,1879020
62,Bhushan Power and Steel Limited,DRI-7,39.21234169,497,223,50,-10.78765831,0,0,1904643
63,Bhushan Power and Steel Limited,DRI-8,15.24927344,497,223,50,-34.75072656,0,0,1904643
64,Bhushan Power and Steel Limited,PelletPlant,17.62982973,667,53,50,-32.37017027,0,0,452673
65,Bhushan Power and Steel Limited,PelletPlant-2,26.64139218,667,53,50,-23.35860782,0,0,452673
66,Bhushan Power and Steel Limited,WHRB-10,45.84923489,527,193,50,-4.150765111,0,0,1648413
67,Bhushan Power and Steel Limited,WHRB-9,32.2753125,6,714,50,-17.7246875,0,0,6098274
68,Bhushan Steel Limited,CEMS-1,47.91118604,589,131,50,-2.088813958,0,0,1118871
69,Bhushan Steel Limited,CEMS-11,16.82652869,590,130,50,-33.17347131,0,0,1110330
70,Bhushan Steel Limited,CEMS-12,24.22510613,570,150,50,-25.77489387,0,0,1281150
71,Bhushan Steel Limited,CEMS-13,9.532650209,587,133,100,-90.46734979,0,0,1076103
72,Bhushan Steel Limited,CEMS-14,81.02713949,577,143,100,-18.97286051,0,0,1157013
73,Bhushan Steel Limited,CEMS-2,19.58035274,377,343,100,-80.41964726,0,0,2775213
74,Bhushan Steel Limited,CEMS-20,47.01641352,573,147,100,-52.98358648,0,0,1189377
75,Bhushan Steel Limited,CEMS-21,39.29139556,586,134,50,-10.70860444,0,0,1144494
76,Bhushan Steel Limited,CEMS-26,93.09967118,118,602,100,-6.90032882,0,0,4870782
77,Bhushan Steel Limited,CEMS-29,169.9749548,593,127,50,119.9749548,119.9749548,640306.3339,1084707
78,Bhushan Steel Limited,CEMS-3,124.823039,295,425,50,74.82303903,74.82303903,198655.1686,3629925
79,Bhushan Steel Limited,CEMS-30,7.012703716,324,396,50,-42.98729628,0,0,3382236
80,Bhushan Steel Limited,CEMS-31,13.12204637,497,223,100,-86.87795363,0,0,1804293
81,Bhushan Steel Limited,CEMS-6,2.54999813,586,134,50,-47.45000187,0,0,1144494
82,Bhushan Steel Limited,CEMS-7,9.798399257,588,132,50,-40.20160074,0,0,1127412
83,Birla Tyres,CEMS-1,11.78192252,559,161,100,-88.21807748,0,0,1302651
84,Birla Tyres,CEMS-2,112.5481179,566,154,100,12.54811787,12.54811787,63920.11243,1246014
85,Birla Tyres,CEMS-3,80.46760641,564,156,100,-19.53239359,0,0,1262196
86,Concast Steel and Power Ltd.,CEMS-5,0.156159538,215,505,100,-99.84384046,0,0,4085955
87,Cracker India Alloys Limited,CEMS-1,35.36845523,510,210,100,-64.63154477,0,0,1699110
88,Emmami Paper Mills Limited,CEMS-1,43.06310804,564,156,50,-6.936891959,0,0,1332396
89,Emmami Paper Mills Limited,CEMS-2,9.417739368,560,160,100,-90.58226063,0,0,1294560
90,Essar Power (Odisha) Ltd.,CEMS-1,36.46484269,565,155,50,-13.53515731,0,0,1323855
91,Essar Power (Odisha) Ltd.,CEMS-2,30.97015738,564,156,50,-19.02984262,0,0,1332396
92,Essar Steel India Limited,CEMS-1,85.37609411,544,176,50,35.37609411,35.37609411,173201.3567,1503216
93,FACOR Power Limited,CEMS-1,54.12334711,574,146,100,-45.87665289,0,0,1181286
94,GMR Kamalanga Energy Ltd,CEMS-1,31.14955902,593,127,50,-18.85044098,0,0,1084707
95,GMR Kamalanga Energy Ltd,CEMS-2,34.9953941,537,183,50,-15.0046059,0,0,1563003
96,GMR Kamalanga Energy Ltd,CEMS-3,31.88468444,512,208,50,-18.11531556,0,0,1776528
97,Ganesh Sponge Pvt. Ltd,CEMS-1,38.24413703,635,85,100,-61.75586297,0,0,687735
98,Goa Carbon Limited,CEMS-1,22.90927231,570,150,100,-77.09072769,0,0,1213650
99,Govindam Projects Pvt Ltd,CEMS-1,75.08990724,631,89,100,-24.91009276,0,0,720099
100,Grewal Associates Pvt. Ltd.,CEMS-2,61.9192,37,683,100,-38.0808,0,0,5526153
101,"HINDALCO Ltd., FRP Plant",CEMS-1,45.52933998,592,128,50,-4.470660021,0,0,1093248
102,"HINDALCO Ltd., FRP Plant",CEMS-2,7.04433892,661,59,50,-42.95566108,0,0,503919
