,plant_name,CEMS,pollution_charge
100,Grewal Associates Pvt. Ltd.,CEMS-2,5526153.0
101,"HINDALCO Ltd., FRP Plant",CEMS-1,1093248.0
102,"HINDALCO Ltd., FRP Plant",CEMS-2,503919.0
103,"HINDALCO Ltd., FRP Plant",CEMS-3,503919.0
104,"HINDALCO Ltd.,Captive Power Plant",CEMS-2,378001.0603909994
105,"HINDALCO Ltd.,Captive Power Plant",CEMS-3,362047.69231885887
106,"HINDALCO Ltd.,Captive Power Plant",CEMS-4,349023.6124719732
107,"HINDALCO Ltd.,Captive Power Plant",CEMS-5,240490.39837778342
108,"HINDALCO Ltd.,Smelter Plant",CEMS-1,566370.0
109,"HINDALCO Ltd.,Smelter Plant",CEMS-2,574461.0
110,"HINDALCO Ltd.,Smelter Plant",CEMS-3,477369.0
111,"HINDALCO Ltd.,Smelter Plant",CEMS-4,453096.0
112,"HINDALCO Ltd.,Smelter Plant",CEMS-5,428823.0
113,Indian Farmers Fertilizer Coperative Ltd,CEMS-6,1704234.2670091256
114,Indian Metal and Ferro Alloys Ltd,CEMS-5,5796306.0
115,Indian Metal and Ferro Alloys Ltd,CEMS-6,1561563.0
116,Indian Metal and Ferro Alloys Ltd (120 MW Power Plant),CEMS-1,1162874.5478699943
117,Indian Metal and Ferro Alloys Ltd (120 MW Power Plant),CEMS-2,1436711.3814734914
118,Indian Metal and Ferro Alloys Ltd (Charge Chrome Plant),CEMS-1,970920.0
119,Indian Metal and Ferro Alloys Ltd (Charge Chrome Plant),CEMS-2,971956.8675917832
120,Indian Metal and Ferro Alloys Ltd (Charge Chrome Plant),CEMS-3,1167543.3971884
121,Indian Oil Corpation Limited,CEMS-1,1221741.0
122,Indian Oil Corpation Limited,CEMS-11,1836657.0
123,Indian Oil Corpation Limited,CEMS-12,2030841.0
124,Indian Oil Corpation Limited,CEMS-13,1221741.0
125,Indian Oil Corpation Limited,CEMS-14,1213650.0
126,Indian Oil Corpation Limited,CEMS-15,2459664.0
127,Indian Oil Corpation Limited,CEMS-16,1254105.0
